stock_receipt_id,item_number,stock_item_description,stock_item_spec,oem_model_no,oem_part_no,subinventory,locator,lot_number,receipt_number,receipt_date,po_number,quantity,uom,locator_segment1,locator_segment2,locator_segment3,locator_segment4,locator_segment5,locator_segment6,locator_segment7,locator_segment8,created_by,creation_date,last_updated_by,last_update_date
76,"2622I06282315030","YP11-300-315x20 ","Trolley Normal Brake match with brake YP11-300-315x20. RTGC ZPMC (brake lining only)","","","","01C0606B202","","2622090052723",09/10/2020 00:00:00,"2622040030331",3,"Set","2622","01C","6","6","B","202","","",,,,
77,"2622I06551207460","4994932","Tube Fuel Return 4994932","","","","01B0402B105","","2622090052781",14/10/2020 00:00:00,"2622040030294",2,"piece","2622","01B","4","2","B","105","","",,,,
78,"2622I06551207460","4994932","Tube Fuel Return 4994932","","","","01B0402B105","","2622090052782",14/10/2020 00:00:00,"2622040030326",1,"piece","2622","01B","4","2","B","105","","",,,,
79,"2622I06551207460","4994932","Tube Fuel Return 4994932","","","","01B0402B105","","2622090052911",22/10/2020 00:00:00,"2622040030306",3,"piece","2622","01B","4","2","B","105","","",,,,
80,"2622I06382248100","ETWLTS00 - 06 A Twist lock ","ETWLTS00 - 06 A Twist lock, Draw No.ETWLTS01-00D,Model ZH941,Serial No. ZD145263 - ZD145267, Project No. NH14-B0470, Single ZPMC (Original)","","","","01B0706A101","","2622090052730",12/10/2020 00:00:00,"2622040030360",8,"piece","2622","01B","7","6","A","101","","",,,,
81,"2622I06382248100","ETWLTS00 - 06 A Twist lock ","ETWLTS00 - 06 A Twist lock, Draw No.ETWLTS01-00D,Model ZH941,Serial No. ZD145263 - ZD145267, Project No. NH14-B0470, Single ZPMC (Original)","","","","01B0706A101","","2622090052727",09/10/2020 00:00:00,"2622040029244",8,"piece","2622","01B","7","6","A","101","","",,,,
82,"2622I06611801010","Torque Arm Pin + Bushing ","Torque Arm Pin + Bushing YTE 1-86-858 for Chs ex China","","","","01B0507B105","","2622090052927",23/10/2020 00:00:00,"2622040030439",20,"piece","2622","01B","5","7","B","105","","",,,,
124,"2622I06541104010","2174 ME ","Resistor 120 Ohm with socket","","","","01B0203A602","","2622090052848",16/10/2020 00:00:00,"2622040030310",4,"piece","2622","01B","2","3","A","602","","",,,,
125,"2622I06141201081","INA SL 04-5028 P-PX / NNF ","Bearing SL 04-5028 P-PX / NNF Complete with Snapring brand INA  Pengganti Bearing SKF : SKF NNF 5028 ADA 2LSV Bearing SKF NNF 5028 ADA 2LSV Hoist Lifting Beam completed with  snap ring. brand","","","","01B0207A201","","2622090052628",02/10/2020 00:00:00,"2622040030311",2,"Set","2622","01B","2","7","A","201","","",,,,
126,"2622I06524281130","90008874","Repair kit 90008874 Cylinder Tilt","","","","01B0402A508","","2622090052844",16/10/2020 00:00:00,"2622040030320",4,"Set","2622","01B","4","2","A","508","","",,,,
127,"2622I06524281130","90008874","Repair kit 90008874 Cylinder Tilt","","","","01B0402A508","","2622090052663",06/10/2020 00:00:00,"2622040030320",2,"Set","2622","01B","4","2","A","508","","",,,,
128,"2622I06537311400","90029916","Adapter M12-1.5 x #8 JIC, 90029916","","","","01B0402A608","","2622090052848",16/10/2020 00:00:00,"2622040030310",6,"piece","2622","01B","4","2","A","608","","",,,,
129,"2622I06537202350","90020596","Relay Valve Ottawa Kalmar","","","","01B0403A201","","2622090052843",16/10/2020 00:00:00,"2622040030305",4,"piece","2622","01B","4","3","A","201","","",,,,
130,"2622I06537101100","53519721","Pin Spring Hanger, Kalmar","","","","01B0403A203","","2622090052756",13/10/2020 00:00:00,"2622040030392",12,"piece","2622","01B","4","3","A","203","","",,,,
131,"2622I06537203030","4899226","Gasket , Valve Cover , Ottawa Kalmar","","","","01B0403A303","","2622090052848",16/10/2020 00:00:00,"2622040030310",3,"piece","2622","01B","4","3","A","303","","",,,,
132,"2622I06181199110","Cable 6/10 KV ","Cable 6/10 KV Reeling cable 3 x 50 x 3 x 25/3 430 meter brand Palazo - PANZERLEX, Diameter Maximum : 49.5 mm","","","","01F0103A101","","2622090052700",08/10/2020 00:00:00,"2622040029631",1,"Roll","2622","01F","1","3","A","101","","",,,,
133,"2622I06232335090","Alternator Prestolite 24 Volt, 35 A ","Alternator 24 Volt, 35 A Brand Prestolite","","","","01B0706B105","","2622090052783",14/10/2020 00:00:00,"2622040030376",2,"piece","2622","01B","7","6","B","105","","",,,,
134,"2622I06232176050","WLCA 12TS ","Limit Switch WLCA 12TS wide selection of two-circuit Double-break completed adjustable roller lever. brand OMRON","","","","01B0202B106","","2622090052696",08/10/2020 00:00:00,"2622040030339",5,"Each","2622","01B","2","2","B","106","","",,,,
135,"2622I06537101630","3928900","Vibration Isolator 3928900","","","","01B0403A304","","2622090052785",14/10/2020 00:00:00,"2622040030288",4,"piece","2622","01B","4","3","A","304","","",,,,
136,"2622I06181421520","ZB4BS4B44 AH 22 + 2 NC ","E-Stop Schneider ZB4BS4B44 AH 22 + 2 NC Contact","","","","01B0302A408","","2622090052713",09/10/2020 00:00:00,"2622040030358",6,"Set","2622","01B","3","2","A","408","","",,,,
137,"2622I06151199130","Roller 100 Polyurethane (local Product) ","Main Roller Feston Cable 100mm, material Polyurethane (local Product)","","","","01B0705B104","","2622090052695",08/10/2020 00:00:00,"2622040030275",40,"piece","2622","01B","7","5","B","104","","",,,,
138,"2622I06282237030","Flexible Knalpot (Modifikasi) ","Flexible Knalpot (Modifikasi) u/ Engine Cummins 6 CTAA8, spring harus flexible, material flenk besi biasa & spring kuningna for RTGC Hybrid","","","","01B0705C102","","2622090052648",05/10/2020 00:00:00,"2622040030302",4,"piece","2622","01B","7","5","C","102","","",,,,
139,"2622I06541220090","T12024111 ","Flex Hose T12024111 (Radiator)","","","","01B0803A203","","2622090052686",07/10/2020 00:00:00,"2622040030348",3,"pack","2622","01B","8","3","A","203","","",,,,
140,"2622I06541325010","3E-7857 ","Drive As 3E-7857 for Starting Motor engine CAT 3126 B. HT Terberg","","","","01B0506B108","","2622090052780",14/10/2020 00:00:00,"2622040030383",2,"pack","2622","01B","5","6","B","108","","",,,,
141,"2622I99300101150","SAE 100 R2AT/ EN 853 2SN DN 20 ","Hose SAE 100 R2AT/ EN 853 2SN DN 20 (3/4 inch) brand Sunflex","","","","01A0302A203","","2622090052898",21/10/2020 00:00:00,"2622040030424",50,"Each","2622","01A","3","2","A","203","","",,,,
142,"2622I06471286050","4328650100","Spacer","","","","01B0702A607","","2622090052892",21/10/2020 00:00:00,"2622040030323",50,"piece","2622","01B","7","2","A","607","","",,,,
143,"2622I06161180020","POG 10 D 1024 I ","Digital Tacho Incremental Encoder Type POG 10 D 1024 I UB = +9...30 V Increment 1024 IP 66 Merk HUBNER","","","","01E0504D102","","2622090052649",05/10/2020 00:00:00,"2622040030303",1,"Unit","2622","01E","5","4","D","102","","",,,,
144,"2622I06611215190","8421442000","Equalizer Hanger for Chs eks China brand CIMC 842.144.2000 include bolt and nuts","","","","01B0408A104","","2622090052660",06/10/2020 00:00:00,"2622040030134",16,"piece","2622","01B","4","8","A","104","","",,,,
20,"2622I06282177020","VDO ","Switch Oil pressure VDO made in Germany for Switch oil pressure engine Cummins RTGC Hybrid","","","","01B0202A604","","2622090052784",14/10/2020 00:00:00,"2622040030337",8,"piece","2622","01B","2","2","A","604","","",,,,
83,"2622I06611801010","Torque Arm Pin + Bushing ","Torque Arm Pin + Bushing YTE 1-86-858 for Chs ex China","","","","01B0507B105","","2622090052683",07/10/2020 00:00:00,"2622040030293",16,"piece","2622","01B","5","7","B","105","","",,,,
84,"2622I06141201310","SKF 222210 ","Bearing 22210 Brand SKF","","","","01C0805C102","","2622090052681",07/10/2020 00:00:00,"2622040030328",6,"piece","2622","01C","8","5","C","102","","",,,,
85,"2622I06292201060","22218E ","Bearing 22218 E brand SKF","","","","01C0805C102","","2622090052738",13/10/2020 00:00:00,"2622040030381",2,"pack","2622","01C","8","5","C","102","","",,,,
86,"2622I06541205410","T18040980 ","Return spring ( front spring brake shoe ) T18040980","","","","01B0406B105","","2622090052946",26/10/2020 00:00:00,"2622040030310",6,"piece","2622","01B","4","6","B","105","","",,,,
87,"2622I06541312060","354-4754 ","Pump GP Water 354-4754 / 322-9662 / 485-4895 for HT Terberg CAT C6.6","","","","01B0406C101","","2622090052912",22/10/2020 00:00:00,"2622040030410",3,"piece","2622","01B","4","6","C","101","","",,,,
88,"2622I02000001060","Blasia 320 ","Oli Agip Blasia 320","","","","01H0101A110","","2622090052852",19/10/2020 00:00:00,"2622040030417",10,"Drum","2622","01H","1","1","A","110","","",,,,
89,"2622I02000001060","Blasia 320 ","Oli Agip Blasia 320","","","","01H0101A110","","2622090052948",27/10/2020 00:00:00,"2622040030467",10,"Drum","2622","01H","1","1","A","110","","",,,,
90,"2622I06541398040","293-5248 Caterpillar ","Belt Serpentine 293-5248 Caterpillar for Alternator, HT Terberg","","","","01B0802A104","","2622090052716",09/10/2020 00:00:00,"2622040030264",6,"piece","2622","01B","8","2","A","104","","",,,,
91,"2622I06232314010","9F-3099 ","Switch AS 24V 9F-3099. brand Caterpillar","","","","01B0203A608","","2622090052696",08/10/2020 00:00:00,"2622040030339",2,"Each","2622","01B","2","3","A","608","","",,,,
92,"2622I06537202280","90015034","Valve Quick release","","","","01B0403A402","","2622090052663",06/10/2020 00:00:00,"2622040030320",4,"piece","2622","01B","4","3","A","402","","",,,,
